user_id,segment,ab_group,drop,activacion,setup,habito_calc
MLB10648848950,1,treatment,0,1,1,0
MLB10615117410,1,treatment,0,1,1,0
MLB10523151730,1,treatment,0,1,1,0
MLB10563962280,1,treatment,0,1,1,0
MLB10465471180-1,1,treatment,0,1,1,0
MLB10568129780,1,treatment,0,1,1,0
MLB10554636740-1,1,treatment,0,1,0,0
MLB47382891700,2,treatment,0,1,1,1
MLB410534650390,2,treatment,0,1,1,1
MLB10636294870,1,treatment,0,1,1,0
MLB6723546010,1,treatment,0,1,1,0
MLB7616885720,1,treatment,0,1,0,0
MLB7616885720,1,treatment,0,1,0,0
MLB10528226180,1,control,0,1,0,0
MLB10562315630,1,treatment,0,1,0,0
MLB410558204500,2,treatment,0,1,1,1
MLB10622486860,1,treatment,0,1,1,0
MLB10417528840,1,treatment,0,1,1,0
MLB4548546100,1,treatment,0,1,0,0
MLB410561424890,2,treatment,0,1,1,1
MLB410564392750,2,treatment,0,1,1,1
MLB10520782780,1,treatment,0,1,1,0
MLB10371949580,1,treatment,0,1,1,0
MLB4762080180,1,treatment,0,1,1,0
MLB7874270810,1,treatment,0,1,1,0
MLB227158070,1,treatment,0,1,1,0
MLB227158070,1,treatment,0,1,1,0
MLB10585405590,1,treatment,0,1,1,0
MLB2455258730,1,treatment,0,1,1,0
MLB2455258730,1,treatment,0,1,1,0
MLB7933270690,1,treatment,0,1,1,0
MLB410034178550,2,treatment,0,1,1,1
MLB10657109260,1,treatment,0,1,1,0
MLB1833478380,1,treatment,0,1,1,0
MLB10596807160,1,treatment,0,1,1,0
MLB10542324540,1,treatment,0,1,1,0
MLB10575764810-1,1,treatment,0,1,1,0
MLB4708619810,1,treatment,0,1,1,0
MLB45647897580,2,treatment,0,1,1,1
MLB10504615100,1,control,0,1,1,0
MLB10504615100,1,control,0,1,1,0
MLB10548745770,1,treatment,0,1,1,0
MLB10613052850,1,treatment,0,1,1,0
MLB10596807160,1,treatment,0,1,1,0
MLB10504615100,1,treatment,0,1,1,0
MLB10504615100,1,treatment,0,1,1,0
MLB42235065450,2,treatment,0,1,0,1
MLB410337394522,2,treatment,0,1,0,1
MLB42202412180,2,control,0,1,1,1
MLB10570176730,1,treatment,0,1,1,0
MLB10596666550,1,treatment,0,1,0,0
MLB10562598730,1,treatment,0,1,1,0
MLB10562598730,1,treatment,0,1,1,0
MLB7119453160,1,treatment,0,1,1,0
MLB10637519180,1,treatment,0,1,1,0
MLB2824718700,1,treatment,0,1,1,0
MLB410610750720,2,treatment,0,1,0,1
MLB10562598730,1,control,0,1,1,0
MLB10562598730,1,control,0,1,1,0
MLB10544268960,1,treatment,0,1,1,0
MLB10641019420-1,1,treatment,0,1,1,0
MLB10580705990,1,treatment,0,1,0,0
MLB6044521330,1,treatment,0,1,1,0
MLB10563613490,1,treatment,0,1,1,0
MLB10626161900,1,treatment,0,1,1,0
MLB3218137580,1,control,0,1,1,0
MLB10006217790,1,treatment,0,1,1,0
MLB4227158070,2,treatment,0,1,1,1
MLB2544686760,1,treatment,0,1,1,0
MLB47192557620,2,treatment,0,1,1,1
MLB10599897110,1,treatment,0,1,1,0
MLB10519151350,1,treatment,0,1,1,0
MLB10607905150,1,treatment,0,1,1,0
MLB1767909280,1,treatment,0,1,1,0
MLB3088032520,1,treatment,0,1,1,0
MLB6208482190,1,treatment,0,1,1,0
MLB10289924710,1,treatment,0,1,1,0
MLB10377453480,1,treatment,0,1,1,0
MLB410656927422,2,treatment,0,1,0,1
MLB10597669130-1,1,treatment,0,1,1,0
MLB4265252640,2,treatment,0,1,1,1
MLB10593229500,1,treatment,0,1,0,0
MLB10545903300,1,treatment,0,1,1,0
MLB7057089320,1,treatment,0,1,1,0
MLB10656215420,1,treatment,0,1,0,0
MLB7315099290,1,treatment,0,1,1,0
MLB10495276810,1,treatment,0,1,1,0
MLB10545877700,1,treatment,0,1,1,0
MLB1944820770,1,treatment,0,1,1,0
MLB6671538600,1,treatment,0,1,1,0
MLB49182916640,2,treatment,0,1,1,1
MLB10549135110,1,treatment,0,1,1,0
MLB10660135740,1,control,0,0,0,0
MLB10392364780,1,treatment,0,1,0,0
MLB10551816620,1,control,0,1,1,0
MLB10641386330,1,treatment,0,1,1,0
MLB2301158370,1,treatment,0,1,1,0
MLB2283518280,1,treatment,0,1,1,0
MLB7441687040,1,treatment,0,1,0,0
MLB1532682260,1,treatment,0,1,1,0
MLB8147288120,1,treatment,0,1,1,0
MLB10200480050,1,treatment,0,1,1,0
MLB1617816830,1,treatment,0,1,1,0
MLB410596565022,2,treatment,0,1,1,1
MLB10044487380,1,treatment,0,1,1,0
MLB1524022700,1,treatment,0,1,1,0
MLB10610169410,1,treatment,0,1,1,0
MLB8192620260,1,treatment,0,1,1,0
MLB10614857840,1,control,0,1,1,0
MLB3304160760,1,treatment,0,1,1,0
MLB10664594090,1,treatment,0,1,1,0
MLB1737272460,1,treatment,0,1,0,0
MLB478263680,2,treatment,0,1,0,1
MLB10555485110,1,treatment,0,1,1,0
MLB42810566222,2,treatment,0,1,1,1
MLB410555485110,2,treatment,0,1,1,1
MLB10561872050,1,treatment,0,1,1,0
MLB10661666960,1,treatment,0,0,1,0
MLB1133447810,1,treatment,0,1,1,0
MLB2944987270-1,1,treatment,0,1,1,0
MLB5701910490,1,treatment,0,1,1,0
MLB10609284680-1,1,treatment,0,1,1,0
MLB10608524330,1,treatment,0,1,1,0
MLB10522111140,1,treatment,0,1,1,0
MLB10323290590,1,treatment,0,1,1,0
MLB10504583760,1,treatment,0,1,1,0
MLB10537704230,1,treatment,0,1,0,0
MLB42280754010,2,treatment,0,1,1,1
MLB10533683550,1,treatment,0,1,1,0
MLB7182602800,1,treatment,0,1,0,0
MLB1897702310,1,treatment,0,1,1,0
MLB2642162970,1,treatment,0,1,1,0
MLB10309846480,1,treatment,0,1,0,0
MLB2642162970,1,treatment,0,1,1,0
MLB10074774490,1,treatment,0,1,1,0
MLB6110756990,1,treatment,0,1,1,0
MLB7470426780,1,treatment,0,1,1,0
MLB265252640,1,treatment,0,1,1,0
MLB410118139040,2,treatment,0,1,1,1
MLB10613757520,1,treatment,0,1,1,0
MLB410511617420,2,treatment,0,1,1,1
MLB10614624360,1,treatment,0,1,1,0
MLB6610600130,1,treatment,0,1,0,0
MLB7614949460,1,treatment,0,1,1,0
MLB43746295080,2,treatment,0,1,1,1
MLB10478035050,1,treatment,0,1,1,0
MLB2660758050,1,treatment,0,1,1,0
MLB410510957590,2,treatment,0,1,1,1
MLB4466065750,1,treatment,0,1,1,0
MLB1546326120,1,treatment,0,1,1,0
MLB10521619050,1,treatment,0,1,1,0
MLB410419005622,2,treatment,0,1,1,1
MLB10613133910,1,treatment,0,1,0,0
MLB10634012110,1,treatment,1,1,0,0
MLB10557531880,1,treatment,0,1,1,0
MLB10498545520,1,treatment,0,1,0,0
MLB10630198100,1,treatment,0,1,1,0
MLB7198884220,1,treatment,0,1,0,0
MLB410639901700,2,treatment,0,1,1,1
MLB10542603750,1,treatment,0,1,1,0
MLB10555280420,1,control,0,1,0,0
MLB10570013550-1,1,treatment,0,1,1,0
MLB2329780740,1,control,0,1,0,0
MLB10514242910,1,treatment,0,1,1,0
MLB10636177190,1,treatment,0,1,1,0
MLB10555485110-1,1,treatment,0,1,1,0
MLB3522409930,1,treatment,0,1,1,0
MLB10515781200,1,treatment,0,1,1,0
MLB1667030770,1,treatment,0,1,1,0
MLB10524143170,1,treatment,0,1,0,0
MLB10647180630,1,control,0,1,1,0
MLB7044841500,1,treatment,0,1,1,0
MLB10488082590,1,treatment,0,1,0,0
MLB10176461700,1,treatment,0,1,1,0
MLB5234326370,1,treatment,0,1,1,0
MLB5335992530-1,1,treatment,0,1,1,0
MLB1883048890,1,treatment,0,1,0,0
MLB6275545660,1,treatment,0,1,1,0
MLB410652453150,2,treatment,0,1,1,1
MLB8065045730,1,treatment,0,1,1,0
MLB6965218780,1,treatment,0,1,1,0
MLB5133106490,1,treatment,0,1,1,0
MLB4359739722,2,treatment,0,1,1,1
MLB3737153080,1,treatment,0,1,1,0
MLB10548306170,1,treatment,0,1,0,0
MLB3737153080,1,treatment,0,1,1,0
MLB10447411440,1,treatment,0,1,1,0
MLB10637954920,1,treatment,0,1,1,0
MLB6777253570,1,treatment,0,1,1,0
MLB10596885060,1,treatment,0,1,1,0
MLB10584992340-1,1,treatment,0,1,1,0
MLB10660558660,1,treatment,0,1,0,0
MLB5798117620,1,treatment,0,1,1,0
MLB10542683560,1,treatment,0,1,1,0
MLB6313367070,1,treatment,0,1,1,0
MLB4902925260,1,treatment,0,1,1,0
MLB10517649490,1,treatment,0,1,0,0
MLB410572750810,2,treatment,0,1,1,1
MLB410492545680,2,treatment,0,1,1,1
MLB1289218070,1,treatment,0,1,0,0
MLB6664723620,1,treatment,0,1,1,0
MLB2026343300,1,treatment,0,1,1,0
MLB6577968990,1,treatment,0,1,0,0
MLB10564920160,1,treatment,0,1,1,0
